Idade;FrequenciaViagem;Departamento;DistanciaCasa;Escolaridade;AreaFormacao;SatisfacaoAmbiente;Genero;EnvolvimentoCargo;NivelCargo;Cargo;SatisfacaoCargo;EstadoCivil;RendimentoMensal;NumEmpresasAnteriores;HorasExtra;PercentAumentoSalarial;AvaliacaoDesempenho;SatisfacaoRelacionamento;NivelOpcaoAccoes;AnosExperienciaTotal;FormacaoUltimoAno;EquilibrioVidaTrabalho;AnosNaEmpresa;AnosNoCargoActual;AnosDesdeUltimaPromocao;AnosComGestorActual;SalarioPorNivel;EstagnacaoRelativa;ProporcaoCarreiraEmpresa;SatisfacaoMedia;PressaoTrabalho
-0.202067;-0.24459073;0.20430687;-0.5311437;0.07891204;0.064112075;0.2779039;-0.08430005;-0.3144557;-0.11098802;-0.042834923;-1.2775918;-0.046029523;-0.5294008;0.5017914;0.041483656;0.05409771;0.024522904;0.46461743;0.63029397;0.07273166;0.4878261;0.53175247;-0.07419748;-0.057300884;-0.0010352815;0.11692215;-0.01751904;-0.53415483;0.3055434;-0.077441946;1.3247869
-0.06556394;0.6459769;-0.15951096;-0.28451836;0.057726044;-0.05327276;-0.21251723;-0.098154396;0.30802155;-0.14783117;-0.3317394;0.05807751;0.007569331;-0.68187803;-0.1577291;0.072955035;-0.3365863;-0.45041078;-0.6718377;-0.8024015;-0.14434773;-0.17053807;-0.2186509;0.007462377;-0.27197;-0.34603578;0.025341416;-0.028543372;-0.1585382;-0.406062;0.02567152;-0.68881345
-0.51070637;-0.16428539;-0.1549711;-0.6477996;0.08894099;-0.50271523;-0.99119407;0.03902877;0.26174632;0.17992558;0.1968587;-0.011247763;-0.16316965;0.9614126;0.3861988;0.026425034;0.049788754;0.021108005;0.07368728;0.6045209;0.1739134;-0.15987816;-0.3276365;0.2786723;0.3530521;0.07487581;0.3942274;-0.29680637;-0.37289718;-0.21938056;-0.045681253;1.3631514
-0.08946395;0.6096431;-0.2537584;-0.44814786;-0.4352283;-0.05978841;-0.9180642;-0.19214444;-0.2507393;0.15528478;-0.2912773;0.0010764643;-0.1592941;-0.19153832;-0.11959646;0.033217926;-0.011603338;0.029981975;-0.13179114;0.58614415;0.054087233;-0.19669533;-0.3390285;-0.14469934;-0.23390687;0.015276907;0.015819578;-0.11528221;0.37280187;-0.56571233;-0.32464683;1.0919784
0.115532614;-0.37032285;-0.1030321;-0.33868232;0.03534784;-0.306583;1.0485071;0.059259333;-0.31972292;0.0317704;0.1932481;0.066878766;-0.05547403;-0.37631455;0.5691016;0.040039092;0.038389184;0.05067811;-0.7549161;-0.6001204;0.06631368;-0.21991904;-0.2506889;0.01696804;0.072788104;-0.12860116;-0.25085282;-0.04505153;0.22573514;-0.06854513;-0.52020836;-0.8369089
0.030721217;0.5250735;-0.11431157;-0.5407364;0.019873671;-0.17579038;-1.0196699;-0.031897984;-0.33750704;0.03271069;0.12693325;-1.9035696;-0.069025174;-0.36837107;-0.64197767;-0.007441762;-0.12397758;0.028115427;-0.11464142;0.4760903;-0.074816056;0.10365366;0.39545017;-0.13612492;-0.13315101;-0.066401124;0.15813823;-0.29611698;0.2475405;0.0583743;-0.16157499;-1.0725081
-0.28180164;-0.31148776;-0.18457152;-0.4171738;0.072950445;-0.50678027;-0.1651162;-0.054571573;-1.4202136;0.089300804;0.23152995;0.4827898;-0.05302684;0.08049584;0.04900086;-0.029332496;-0.23639409;-0.35658452;0.39592355;-1.1122026;-0.18542966;-0.2272474;0.15991728;0.1212228;0.296582;0.017292952;0.26123598;-0.062310427;-0.3897779;-0.43135437;-0.46275192;0.60763013
-0.0030710623;-0.32468233;-0.14295842;0.5416333;-0.058946;-0.28590363;-1.024764;-0.039451476;-0.24610367;0.0760541;0.5976962;-0.17641066;-0.0010761382;0.06336633;-0.11717036;0.009237711;-0.08949529;-0.40384358;0.006003431;-1.3097179;-0.050188605;0.10816622;-0.40231386;0.10780226;0.30397454;0.041134052;0.5514272;-0.11921189;-0.30223125;-0.34918886;-0.051234797;-1.0075084
-0.50215644;0.6275609;-0.25216886;0.51411897;0.033770196;-0.028674962;-1.4760995;-0.09901368;0.2624113;-0.006327208;-0.2024604;-0.18591687;-0.26869693;-0.05314415;-0.40656263;0.019962674;-0.19843596;-0.30964705;0.022178918;0.5750253;-0.20827046;0.1158766;-0.37462458;-0.012899625;-0.24089907;-0.32211494;-0.429735;-0.36157292;-0.32417005;0.03339103;-0.06871413;-0.9045287
-0.4679451;-0.29038304;-0.15035257;0.118054256;0.017424347;-0.5669605;-0.5167603;-0.027342124;-0.43715963;-0.13976401;-0.05992861;-0.1465005;0.04699428;-0.5803052;0.5123299;0.061023396;-0.21634437;0.039189097;-0.06115284;-1.0048187;-0.265922;-0.17652142;0.32681078;-0.29115516;-0.3467453;-0.070381865;-0.20757286;0.15403858;0.24533407;-0.29888782;-0.66164273;-0.86427027
